clause_id,record_id,clause_text,evidence_start,evidence_end,is_policy_action,instrument_labels,direction,D1,D2,D3,D4,D5,D6,D7,annotator_id,annotation_status
CLAUSE_f91ca37a3e94962f324aa8e1,POL_DEF6A1D14C78E219F5F8,"市住建、地税、社保等部门要在2011年2月20日前出台我市住房限购实施意见,原则上对已有1套住房的当地户籍居民家庭、能够提供一年以上(含一年)纳税证明或社会保险缴纳证明的非户籍居民家庭,限购1套住房;",0,100,,,,,,,,,,,,unlabeled
CLAUSE_e10a7877d67ff3ba93cb47b8,POL_DEF6A1D14C78E219F5F8,"对已拥有2套及以上住房的当地户籍居民家庭、拥有1套及以上住房的非当地户籍居民家庭、无法提供一年以上(含一年)纳税证明或社会保险缴纳证明的非当地户籍居民家庭,自实施意见实施之日起至2011年12月30日内,暂停向其出售贵阳市中心城区人口密集、房价过高一环内的住房。",100,231,,,,,,,,,,,,unlabeled
CLAUSE_7b33b8bb3792df8eed214d4e,POL_4630F628735A69206265,"各金融机构和北京住房公积金管理中心对贷款购买第二套住房的家庭,要切实执行“首付款比例不低于60%,贷款利率不低于基准利率的1.1倍”的政策。",0,70,,,,,,,,,,,,unlabeled
CLAUSE_be0dff825bb85d24ddaae92d,POL_4630F628735A69206265,"对已拥有1套住房的本市户籍居民家庭(含驻京部队现役军人和现役武警家庭、持有有效《北京市工作居住证》的家庭,下同)、持有本市有效暂住证在本市没拥有住房且连续5年(含)以上在本市缴纳社会保险或个人所得税的非本市户籍居民家庭,限购1套住房(含新建商品住房和二手住房);",70,201,,,,,,,,,,,,unlabeled
CLAUSE_37b7333b965b9e3154c4a8b1,POL_4630F628735A69206265,"对已拥有2套及以上住房的本市户籍居民家庭、拥有1套及以上住房的非本市户籍居民家庭、无法提供本市有效暂住证和连续5年(含)以上在本市缴纳社会保险或个人所得税缴纳证明的非本市户籍居民家庭,暂停在本市向其售房。",201,303,,,,,,,,,,,,unlabeled
CLAUSE_f06e4f049b93f1a2dae2fd82,POL_EAA318BC89641917507A,三、合理引导住房需求。,0,11,,,,,,,,,,,,unlabeled
CLAUSE_79289b41f402f3c3329b0ee0,POL_EAA318BC89641917507A,"按照国家要求,在一定时期内实行住房限购措施。",11,33,,,,,,,,,,,,unlabeled
CLAUSE_a6955abf79f2461dfffb2e53,POL_EAA318BC89641917507A,"原则上对已拥有1套住房的本市户籍居民家庭、能够提供本市1年以上纳税证明或社会保险缴纳证明的非本市户籍居民家庭,限购1套住房(含新建商品住房和二手住房);",33,109,,,,,,,,,,,,unlabeled
CLAUSE_a03d34b47d14e1fa2d39879e,POL_EAA318BC89641917507A,"对已拥有2套及以上住房的本市户籍居民家庭、拥有1套及以上住房的非本市户籍居民家庭、无法提供1年以上本市纳税证明或社会保险缴纳证明的非本市户籍居民家庭,要暂停在本市市区内(不含呼兰区、阿城区)向其售房。",109,209,,,,,,,,,,,,unlabeled
CLAUSE_78c374bfdfd6c18289e28c46,POL_EAA318BC89641917507A,"加快个人住房信息系统建设,进一步完善房屋预(销)售管理,采取切实措施,加强市场监管,确保住房限购政策落实到位。",209,264,,,,,,,,,,,,unlabeled
